class,X01 Segurança ocupacional,X02 Segurança industrial,X03 Requisito legal,X04 Gestão de riscos,X05 Aumento de capacidade,X06 Aumento de produção,X07 Novo produto,X08 Novo mercado,X09 Redução de custos,X10 Melhoria da qualidade,X11 Substituição / renovação,X12 Obsolescência,X13 Continuidade operacional,X14 Grande reforma / reconstrução,X15 Meio ambiente,X16 Efluentes / resíduos,X17 Tecnologia da informação,X18 Pesquisa e desenvolvimento,X19 Estudo / piloto / protótipo,X20 SPA / obrigação contratual,X21 Cilindros de laminação,X22 Redução de CO2,X23 Mudança de combustível,X24 Rejeitos,X25 Barragem / armazenamento rejeitos,X26 Retorno financeiro,X27 Nova instalação / greenfield,X28 Modificação ativo existente,X29 Melhoria tecnológica normal,X30 Incerteza tecnológica,X31 Redução capital de giro,X32 Capitalização / monitoramento especial,X33 Adequação normativa,X34 Proteção de pessoas / operadores,X35 Proteção de máquinas / equipamentos,X36 Proteção contra incêndio,X37 Segurança elétrica / SPDA,X38 Exposição direta de pessoas ao risco,X39 Deficiência de barreiras / controles críticos,X40 Condição crítica / desvio do processo,X41 Falta de sensor / intertravamento / redundância,X42 Automação para redução da exposição humana
Cat 1 - Segurança,1,1,0.6,1,0,0,0,0,0,0,0.25,0.75,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0.75,1.0,0.9,0.75,0.75,1.0,1.0,1.0,0.9,0.75
Cat 2 - Crescimento,0,0,0,0,1,1,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat 3 - Modificações,0,0,0,0,0.5,0.25,0,0,1,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,1,0.5,0,0.75,0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25
Cat 4 - Manutenção,0,0,0,0.25,0,0,0,0,0.25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
Cat 5 - Renovações,0,0,0,0.25,0,0,0,0,0,0.25,0.75,0.75,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0,0,0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0
Cat 6 - Meio ambiente,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0.25,0,1,1,0,0,0,0,0,0.5,0.25,0.25,0,0,0,0.5,0.25,0,0,0,0.5,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0
Cat 7 - TI,0,0,0,0.25,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0.5,0.75,0.25,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat 8 - P&D,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5
Cat 9 - SPA Crescimento,0,0,0.5,0,0.75,0.75,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.75,0.5,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat 10 - SPA Manut./Amb.,0,0,0.75,0.25,0,0,0,0,0,0,0.75,0.5,0.75,0,0.75,0.5,0,0,0,1,0,0,0,0.25,0,0,0,0.5,0.5,0,0,0,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
Cat 11 - Cilindros,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.0
Cat 12 - Descarbonização,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,1,1,0,0,0,0,0.5,0.5,0,0,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25
Cat 13 - Rejeitos,0,0.25,0.5,0.75,0,0,0,0,0,0,0.5,0.25,0.75,0.25,0.5,0.25,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0,0,0.5,0.5,0.25,0.0,0.0,0.5,0.5,0.5,0.25,0.0
