project_code,real_class,X01 Segurança ocupacional,X02 Segurança industrial,X03 Requisito legal,X04 Gestão de riscos,X05 Aumento de capacidade,X06 Aumento de produção,X07 Novo produto,X08 Novo mercado,X09 Redução de custos,X10 Melhoria da qualidade,X11 Substituição / renovação,X12 Obsolescência,X13 Continuidade operacional,X14 Grande reforma / reconstrução,X15 Meio ambiente,X16 Efluentes / resíduos,X17 Tecnologia da informação,X18 Pesquisa e desenvolvimento,X19 Estudo / piloto / protótipo,X20 SPA / obrigação contratual,X21 Cilindros de laminação,X22 Redução de CO2,X23 Mudança de combustível,X24 Rejeitos,X25 Barragem / armazenamento rejeitos,X26 Retorno financeiro,X27 Nova instalação / greenfield,X28 Modificação ativo existente,X29 Melhoria tecnológica normal,X30 Incerteza tecnológica,X31 Redução capital de giro,X32 Capitalização / monitoramento especial,X33 Adequação normativa,X34 Proteção de pessoas / operadores,X35 Proteção de máquinas / equipamentos,X36 Proteção contra incêndio,X37 Segurança elétrica / SPDA,X38 Exposição direta de pessoas ao risco,X39 Deficiência de barreiras / controles críticos,X40 Condição crítica / desvio do processo,X41 Falta de sensor / intertravamento / redundância,X42 Automação para redução da exposição humana,classification_source,coding_version,label_validated_by
UJ-TR0259,Cat 1 - Segurança,1,0.75,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,1,1,0.5,0.75,0.0,modelo_seguranca_pca_hebb.py,1.0,especialistas do projeto
ME-GU0047,Cat 1 - Segurança,0.5,1,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.75,0.0,1,0.0,0.75,0.75,1,0.75,0.0,modelo_seguranca_pca_hebb.py,1.0,especialistas do projeto
ME-IR0057,Cat 1 - Segurança,1,0.75,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,1,1,0.5,0.75,0.0,modelo_seguranca_pca_hebb.py,1.0,especialistas do projeto
ME-BH0050,Cat 1 - Segurança,0.5,1,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.75,0.0,1,0.0,0.75,0.75,1,0.75,0.0,modelo_seguranca_pca_hebb.py,1.0,especialistas do projeto
UJ-EU0109,Cat 1 - Segurança,1,0.75,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,0.75,0.5,0.5,0.0,modelo_seguranca_pca_hebb.py,1.0,especialistas do projeto
BF-FQ0245.61,Cat 1 - Segurança,1,0.75,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,1,1,0.5,0.75,0.0,modelo_seguranca_pca_hebb.py,1.0,especialistas do projeto
BF-FQ0246.80,Cat 1 - Segurança,1,0.75,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,1,1,0.5,0.75,0.0,modelo_seguranca_pca_hebb.py,1.0,especialistas do projeto
BF-FA0116.80,Cat 1 - Segurança,1,0.75,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,1,1,0.5,0.75,0.0,modelo_seguranca_pca_hebb.py,1.0,especialistas do projeto
BF-GA0126.61,Cat 1 - Segurança,1,0.75,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,1,1,0.5,0.75,0.0,modelo_seguranca_pca_hebb.py,1.0,especialistas do projeto
BF-CO0158.80,Cat 1 - Segurança,1,0.75,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,1,1,0.5,0.75,0.0,modelo_seguranca_pca_hebb.py,1.0,especialistas do projeto
